United Airlines_unscaled,United Airlines_monthly,isPartial,scale,United Airlines
89,50,,0.5,44.5
86,50,,0.5,43
92,50,,0.5,46
91,50,,0.5,45.5
84,50,,0.5,42
76,50,,0.5,38
82,48,FALSE,0.48,39.36
100,48,,0.48,48
97,48,,0.48,46.559999999999995
88,48,,0.48,42.239999999999995
91,48,,0.48,43.68
90,48,,0.48,43.199999999999996
77,48,,0.48,36.96
79,49,FALSE,0.49,38.71
87,49,,0.49,42.63
90,49,,0.49,44.1
87,49,,0.49,42.63
89,49,,0.49,43.61
81,49,,0.49,39.69
77,49,,0.49,37.73
80,45,FALSE,0.45,36
87,45,,0.45,39.15
85,45,,0.45,38.25
81,45,,0.45,36.45
66,45,,0.45,29.7
75,45,,0.45,33.75
76,45,,0.45,34.2
89,48,FALSE,0.48,42.72
88,48,,0.48,42.239999999999995
88,48,,0.48,42.239999999999995
52,48,,0.48,24.96
56,48,,0.48,26.88
53,48,,0.48,25.439999999999998
47,48,,0.48,22.56
47,45,FALSE,0.45,21.150000000000002
51,45,,0.45,22.95
54,45,,0.45,24.3
54,45,,0.45,24.3
51,45,,0.45,22.95
49,45,,0.45,22.05
47,45,,0.45,21.150000000000002
47,51,FALSE,0.51,23.97
55,51,,0.51,28.05
54,51,,0.51,27.54
56,51,,0.51,28.560000000000002
58,51,,0.51,29.580000000000002
57,51,,0.51,29.07
53,51,,0.51,27.03
55,57,FALSE,0.57,31.349999999999998
59,57,,0.57,33.629999999999995
56,57,,0.57,31.919999999999998
56,57,,0.57,31.919999999999998
51,57,,0.57,29.069999999999997
100,57,,0.57,56.99999999999999
69,57,,0.57,39.33
61,63,FALSE,0.63,38.43
78,63,,0.63,49.14
70,63,,0.63,44.1
62,63,,0.63,39.06
58,63,,0.63,36.54
54,63,,0.63,34.02
62,63,,0.63,39.06
72,66,FALSE,0.66,47.52
80,66,,0.66,52.800000000000004
100,66,,0.66,66
83,66,,0.66,54.78
65,66,,0.66,42.9
71,66,,0.66,46.86
65,66,,0.66,42.9
66,56,FALSE,0.56,36.96
65,56,,0.56,36.400000000000006
67,56,,0.56,37.52
75,56,,0.56,42.00000000000001
77,56,,0.56,43.120000000000005
55,56,,0.56,30.800000000000004
66,56,,0.56,36.96
53,50,FALSE,0.5,26.5
61,50,,0.5,30.5
62,50,,0.5,31
65,50,,0.5,32.5
61,50,,0.5,30.5
62,50,,0.5,31
56,50,,0.5,28
57,56,FALSE,0.56,31.92
73,56,,0.56,40.88
61,56,,0.56,34.160000000000004
64,56,,0.56,35.84
70,56,,0.56,39.2
71,56,,0.56,39.760000000000005
64,56,,0.56,35.84
71,60,FALSE,0.6,42.6
72,60,,0.6,43.199999999999996
74,60,,0.6,44.4
73,60,,0.6,43.8
79,60,,0.6,47.4
76,60,,0.6,45.6
73,60,,0.6,43.8
70,63,FALSE,0.63,44.1
74,63,,0.63,46.62
75,63,,0.63,47.25
76,63,,0.63,47.88
64,63,,0.63,40.32
74,63,,0.63,46.62
69,63,,0.63,43.47
62,68,FALSE,0.68,42.160000000000004
69,68,,0.68,46.92
83,68,,0.68,56.440000000000005
89,68,,0.68,60.52
89,68,,0.68,60.52
