Kaiser Permanente_unscaled,Kaiser Permanente_monthly,isPartial,scale,Kaiser Permanente
53,73.0,,0.73,38.69
40,69.0,False,0.69,27.599999999999998
52,69.0,,0.69,35.879999999999995
96,69.0,,0.69,66.24
89,69.0,,0.69,61.41
93,69.0,,0.69,64.17
86,69.0,,0.69,59.339999999999996
55,69.0,,0.69,37.949999999999996
45,71.0,False,0.71,31.95
92,71.0,,0.71,65.32
93,71.0,,0.71,66.03
86,71.0,,0.71,61.059999999999995
87,71.0,,0.71,61.769999999999996
81,71.0,,0.71,57.51
53,71.0,,0.71,37.629999999999995
41,71.0,False,0.71,29.11
93,71.0,,0.71,66.03
92,71.0,,0.71,65.32
91,71.0,,0.71,64.61
85,71.0,,0.71,60.349999999999994
84,71.0,,0.71,59.64
52,71.0,,0.71,36.92
42,73.0,False,0.73,30.66
93,73.0,,0.73,67.89
100,73.0,,0.73,73.0
89,73.0,,0.73,64.97
91,73.0,,0.73,66.42999999999999
88,73.0,,0.73,64.24
51,73.0,,0.73,37.23
40,72.0,False,0.72,28.799999999999997
86,72.0,,0.72,61.919999999999995
95,72.0,,0.72,68.39999999999999
93,72.0,,0.72,66.96
94,72.0,,0.72,67.67999999999999
85,72.0,,0.72,61.199999999999996
52,72.0,,0.72,37.44
40,72.0,False,0.72,28.799999999999997
86,72.0,,0.72,61.919999999999995
93,72.0,,0.72,66.96
91,72.0,,0.72,65.52
89,72.0,,0.72,64.08
80,72.0,,0.72,57.599999999999994
50,72.0,,0.72,36.0
44,71.0,False,0.71,31.24
90,71.0,,0.71,63.9
88,71.0,,0.71,62.48
85,71.0,,0.71,60.349999999999994
84,71.0,,0.71,59.64
82,71.0,,0.71,58.22
53,71.0,,0.71,37.629999999999995
42,72.0,False,0.72,30.24
87,72.0,,0.72,62.64
100,72.0,,0.72,72.0
91,72.0,,0.72,65.52
85,72.0,,0.72,61.199999999999996
74,72.0,,0.72,53.28
51,72.0,,0.72,36.72
40,82.0,False,0.82,32.8
76,82.0,,0.82,62.31999999999999
76,82.0,,0.82,62.31999999999999
74,82.0,,0.82,60.68
78,82.0,,0.82,63.959999999999994
90,82.0,,0.82,73.8
60,82.0,,0.82,49.199999999999996
41,87.0,False,0.87,35.67
84,87.0,,0.87,73.08
78,87.0,,0.87,67.86
77,87.0,,0.87,66.99
75,87.0,,0.87,65.25
77,87.0,,0.87,66.99
88,87.0,,0.87,76.56
100,83.0,False,0.83,83.0
81,83.0,,0.83,67.22999999999999
77,83.0,,0.83,63.91
74,83.0,,0.83,61.419999999999995
74,83.0,,0.83,61.419999999999995
67,83.0,,0.83,55.61
41,83.0,,0.83,34.03
35,57.0,False,0.57,19.95
69,57.0,,0.57,39.33
68,57.0,,0.57,38.76
58,57.0,,0.57,33.059999999999995
32,57.0,,0.57,18.24
43,57.0,,0.57,24.509999999999998
36,57.0,,0.57,20.52
33,75.0,False,0.75,24.75
74,75.0,,0.75,55.5
82,75.0,,0.75,61.5
92,75.0,,0.75,69.0
83,75.0,,0.75,62.25
76,75.0,,0.75,57.0
52,75.0,,0.75,39.0
39,72.0,False,0.72,28.08
80,72.0,,0.72,57.599999999999994
86,72.0,,0.72,61.919999999999995
83,72.0,,0.72,59.76
80,72.0,,0.72,57.599999999999994
70,72.0,,0.72,50.4
48,72.0,,0.72,34.56
38,72.0,False,0.72,27.36
79,72.0,,0.72,56.879999999999995
87,72.0,,0.72,62.64
80,72.0,,0.72,57.599999999999994
77,72.0,,0.72,55.44
74,72.0,,0.72,53.28
46,72.0,,0.72,33.12
41,69.0,False,0.69,28.29
80,69.0,,0.69,55.199999999999996
87,69.0,,0.69,60.029999999999994
86,69.0,,0.69,59.339999999999996
79,69.0,,0.69,54.51
59,69.0,,0.69,40.709999999999994
36,69.0,,0.69,24.839999999999996
47,82.0,False,0.82,38.54
92,82.0,,0.82,75.44
100,82.0,,0.82,82.0
99,82.0,,0.82,81.17999999999999
95,82.0,,0.82,77.89999999999999
74,82.0,,0.82,60.68
41,82.0,,0.82,33.62
44,100.0,False,1.0,44.0
82,100.0,,1.0,82.0
100,100.0,,1.0,100.0
94,100.0,,1.0,94.0
74,100.0,,1.0,74.0
80,100.0,,1.0,80.0
52,100.0,,1.0,52.0
38,90.0,False,0.9,34.2
78,90.0,,0.9,70.2
78,90.0,,0.9,70.2
76,90.0,,0.9,68.4
67,90.0,,0.9,60.300000000000004
63,90.0,,0.9,56.7
49,90.0,,0.9,44.1
34,70.0,False,0.7,23.799999999999997
53,70.0,,0.7,37.099999999999994
64,70.0,,0.7,44.8
63,70.0,,0.7,44.099999999999994
58,70.0,,0.7,40.599999999999994
55,70.0,,0.7,38.5
35,70.0,,0.7,24.5
27,67.0,False,0.67,18.09
70,67.0,,0.67,46.900000000000006
56,67.0,,0.67,37.52
56,67.0,,0.67,37.52
56,67.0,,0.67,37.52
57,67.0,,0.67,38.190000000000005
35,67.0,,0.67,23.450000000000003
27,67.0,False,0.67,18.09
60,67.0,,0.67,40.2
100,67.0,,0.67,67.0
88,67.0,,0.67,58.96
88,67.0,,0.67,58.96
80,67.0,,0.67,53.6
57,67.0,,0.67,38.190000000000005
49,70.0,False,0.7,34.3
95,70.0,,0.7,66.5
92,70.0,,0.7,64.39999999999999
83,70.0,,0.7,58.099999999999994
71,70.0,,0.7,49.699999999999996
79,70.0,,0.7,55.3
50,70.0,,0.7,35.0
36,61.0,False,0.61,21.96
73,61.0,,0.61,44.53
81,61.0,,0.61,49.41
82,61.0,,0.61,50.019999999999996
81,61.0,,0.61,49.41
79,61.0,,0.61,48.19
55,61.0,,0.61,33.55
38,64.0,False,0.64,24.32
73,64.0,,0.64,46.72
86,64.0,,0.64,55.04
87,64.0,,0.64,55.68
83,64.0,,0.64,53.120000000000005
77,64.0,,0.64,49.28
51,64.0,,0.64,32.64
42,64.0,False,0.64,26.88
90,64.0,,0.64,57.6
100,64.0,,0.64,64.0
93,64.0,,0.64,59.52
90,64.0,,0.64,57.6
82,64.0,,0.64,52.480000000000004
55,64.0,,0.64,35.2
43,61.0,False,0.61,26.23
85,61.0,,0.61,51.85
93,61.0,,0.61,56.73
91,61.0,,0.61,55.51
84,61.0,,0.61,51.24
76,61.0,,0.61,46.36
50,61.0,,0.61,30.5
38,63.0,False,0.63,23.94
89,63.0,,0.63,56.07
91,63.0,,0.63,57.33
95,63.0,,0.63,59.85
88,63.0,,0.63,55.44
80,63.0,,0.63,50.4
49,63.0,,0.63,30.87
42,60.0,False,0.6,25.2
90,60.0,,0.6,54.0
94,60.0,,0.6,56.4
84,60.0,,0.6,50.4
82,60.0,,0.6,49.199999999999996
76,60.0,,0.6,45.6
48,60.0,,0.6,28.799999999999997
41,62.0,False,0.62,25.419999999999998
82,62.0,,0.62,50.839999999999996
81,62.0,,0.62,50.22
83,62.0,,0.62,51.46
86,62.0,,0.62,53.32
94,62.0,,0.62,58.28
62,62.0,,0.62,38.44
47,62.0,False,0.62,29.14
95,62.0,,0.62,58.9
98,62.0,,0.62,60.76
99,62.0,,0.62,61.38
91,62.0,,0.62,56.42
91,62.0,,0.62,56.42
56,62.0,,0.62,34.72
45,58.0,False,0.58,26.099999999999998
99,58.0,,0.58,57.419999999999995
94,58.0,,0.58,54.519999999999996
96,58.0,,0.58,55.67999999999999
92,58.0,,0.58,53.36
87,58.0,,0.58,50.459999999999994
54,58.0,,0.58,31.319999999999997
42,61.0,False,0.61,25.62
100,61.0,,0.61,61.0
99,61.0,,0.61,60.39
92,61.0,,0.61,56.12
94,61.0,,0.61,57.339999999999996
86,61.0,,0.61,52.46
55,61.0,,0.61,33.55
46,63.0,False,0.63,28.98
100,63.0,,0.63,63.0
94,63.0,,0.63,59.22
93,63.0,,0.63,58.59
97,63.0,,0.63,61.11
86,63.0,,0.63,54.18
60,63.0,,0.63,37.8
44,62.0,False,0.62,27.28
86,62.0,,0.62,53.32
89,62.0,,0.62,55.18
82,62.0,,0.62,50.839999999999996
82,62.0,,0.62,50.839999999999996
77,62.0,,0.62,47.74
49,62.0,,0.62,30.38
37,63.0,False,0.63,23.31
84,63.0,,0.63,52.92
92,63.0,,0.63,57.96
85,63.0,,0.63,53.55
85,63.0,,0.63,53.55
80,63.0,,0.63,50.4
52,63.0,,0.63,32.76
45,67.0,False,0.67,30.150000000000002
91,67.0,,0.67,60.970000000000006
94,67.0,,0.67,62.980000000000004
90,67.0,,0.67,60.300000000000004
87,67.0,,0.67,58.290000000000006
85,67.0,,0.67,56.95
59,67.0,,0.67,39.53
43,69.0,False,0.69,29.669999999999998
90,69.0,,0.69,62.099999999999994
96,69.0,,0.69,66.24
100,69.0,,0.69,69.0
89,69.0,,0.69,61.41
82,69.0,,0.69,56.58
53,69.0,,0.69,36.57
42,64.0,False,0.64,26.88
51,64.0,,0.64,32.64
94,64.0,,0.64,60.160000000000004
94,64.0,,0.64,60.160000000000004
90,64.0,,0.64,57.6
95,64.0,,0.64,60.800000000000004
56,64.0,,0.64,35.84
44,68.0,False,0.68,29.92
95,68.0,,0.68,64.60000000000001
90,68.0,,0.68,61.2
93,68.0,,0.68,63.24
84,68.0,,0.68,57.120000000000005
81,68.0,,0.68,55.080000000000005
52,68.0,,0.68,35.36
45,68.0,False,0.68,30.6
94,68.0,,0.68,63.92
100,68.0,,0.68,68.0
92,68.0,,0.68,62.56
92,68.0,,0.68,62.56
82,68.0,,0.68,55.760000000000005
49,68.0,,0.68,33.32
39,70.0,False,0.7,27.299999999999997
89,70.0,,0.7,62.3
100,70.0,,0.7,70.0
97,70.0,,0.7,67.89999999999999
88,70.0,,0.7,61.599999999999994
82,70.0,,0.7,57.4
51,70.0,,0.7,35.699999999999996
45,68.0,False,0.68,30.6
97,68.0,,0.68,65.96000000000001
91,68.0,,0.68,61.88
98,68.0,,0.68,66.64
95,68.0,,0.68,64.60000000000001
84,68.0,,0.68,57.120000000000005
50,68.0,,0.68,34.0
42,65.0,False,0.65,27.3
45,65.0,,0.65,29.25
91,65.0,,0.65,59.15
96,65.0,,0.65,62.400000000000006
97,65.0,,0.65,63.050000000000004
91,65.0,,0.65,59.15
51,65.0,,0.65,33.15
40,73.0,False,0.73,29.2
100,73.0,,0.73,73.0
93,73.0,,0.73,67.89
100,73.0,,0.73,73.0
95,73.0,,0.73,69.35
86,73.0,,0.73,62.78
56,73.0,,0.73,40.879999999999995
44,71.0,False,0.71,31.24
99,71.0,,0.71,70.28999999999999
100,71.0,,0.71,71.0
93,71.0,,0.71,66.03
96,71.0,,0.71,68.16
86,71.0,,0.71,61.059999999999995
57,71.0,,0.71,40.47
47,70.0,False,0.7,32.9
92,70.0,,0.7,64.39999999999999
99,70.0,,0.7,69.3
90,70.0,,0.7,62.99999999999999
93,70.0,,0.7,65.1
86,70.0,,0.7,60.199999999999996
54,70.0,,0.7,37.8
47,73.0,False,0.73,34.31
96,73.0,,0.73,70.08
98,73.0,,0.73,71.53999999999999
100,73.0,,0.73,73.0
89,73.0,,0.73,64.97
86,73.0,,0.73,62.78
49,73.0,,0.73,35.769999999999996
47,72.0,False,0.72,33.839999999999996
95,72.0,,0.72,68.39999999999999
99,72.0,,0.72,71.28
90,72.0,,0.72,64.8
95,72.0,,0.72,68.39999999999999
79,72.0,,0.72,56.879999999999995
50,72.0,,0.72,36.0
42,71.0,False,0.71,29.82
92,71.0,,0.71,65.32
99,71.0,,0.71,70.28999999999999
96,71.0,,0.71,68.16
92,71.0,,0.71,65.32
83,71.0,,0.71,58.93
50,71.0,,0.71,35.5
40,67.0,False,0.67,26.8
91,67.0,,0.67,60.970000000000006
97,67.0,,0.67,64.99000000000001
90,67.0,,0.67,60.300000000000004
82,67.0,,0.67,54.940000000000005
80,67.0,,0.67,53.6
50,67.0,,0.67,33.5
48,69.0,False,0.69,33.12
92,69.0,,0.69,63.48
95,69.0,,0.69,65.55
93,69.0,,0.69,64.17
92,69.0,,0.69,63.48
92,69.0,,0.69,63.48
53,69.0,,0.69,36.57
46,64.0,False,0.64,29.44
51,64.0,,0.64,32.64
100,64.0,,0.64,64.0
97,64.0,,0.64,62.08
94,64.0,,0.64,60.160000000000004
86,64.0,,0.64,55.04
60,64.0,,0.64,38.4
42,66.0,False,0.66,27.720000000000002
100,66.0,,0.66,66.0
100,66.0,,0.66,66.0
95,66.0,,0.66,62.7
97,66.0,,0.66,64.02
84,66.0,,0.66,55.440000000000005
51,66.0,,0.66,33.660000000000004
45,63.0,False,0.63,28.35
91,63.0,,0.63,57.33
100,63.0,,0.63,63.0
90,63.0,,0.63,56.7
88,63.0,,0.63,55.44
81,63.0,,0.63,51.03
49,63.0,,0.63,30.87
41,66.0,False,0.66,27.060000000000002
96,66.0,,0.66,63.36
93,66.0,,0.66,61.38
89,66.0,,0.66,58.74
87,66.0,,0.66,57.42
88,66.0,,0.66,58.080000000000005
56,66.0,,0.66,36.96
46,66.0,False,0.66,30.360000000000003
87,66.0,,0.66,57.42
97,66.0,,0.66,64.02
89,66.0,,0.66,58.74
92,66.0,,0.66,60.720000000000006
86,66.0,,0.66,56.760000000000005
55,66.0,,0.66,36.300000000000004
47,64.0,False,0.64,30.080000000000002
94,64.0,,0.64,60.160000000000004
91,64.0,,0.64,58.24
88,64.0,,0.64,56.32
88,64.0,,0.64,56.32
86,64.0,,0.64,55.04
48,64.0,,0.64,30.72
42,64.0,False,0.64,26.88
94,64.0,,0.64,60.160000000000004
100,64.0,,0.64,64.0
91,64.0,,0.64,58.24
87,64.0,,0.64,55.68
85,64.0,,0.64,54.4
50,64.0,,0.64,32.0
42,64.0,False,0.64,26.88
90,64.0,,0.64,57.6
98,64.0,,0.64,62.72
93,64.0,,0.64,59.52
89,64.0,,0.64,56.96
83,64.0,,0.64,53.120000000000005
51,64.0,,0.64,32.64
39,61.0,False,0.61,23.79
86,61.0,,0.61,52.46
94,61.0,,0.61,57.339999999999996
100,61.0,,0.61,61.0
94,61.0,,0.61,57.339999999999996
89,61.0,,0.61,54.29
53,61.0,,0.61,32.33
41,60.0,False,0.6,24.599999999999998
95,60.0,,0.6,57.0
95,60.0,,0.6,57.0
84,60.0,,0.6,50.4
92,60.0,,0.6,55.199999999999996
84,60.0,,0.6,50.4
56,60.0,,0.6,33.6
42,62.0,False,0.62,26.04
97,62.0,,0.62,60.14
96,62.0,,0.62,59.519999999999996
99,62.0,,0.62,61.38
96,62.0,,0.62,59.519999999999996
88,62.0,,0.62,54.56
57,62.0,,0.62,35.339999999999996
45,50.0,False,0.5,22.5
87,50.0,,0.5,43.5
93,50.0,,0.5,46.5
86,50.0,,0.5,43.0
