Golden State Warriors_unscaled,Golden State Warriors_monthly,isPartial,scale,Golden State Warriors
66,20.0,,0.2,13.2
81,20.0,False,0.2,16.2
30,20.0,,0.2,6.0
33,20.0,,0.2,6.6000000000000005
67,20.0,,0.2,13.4
32,20.0,,0.2,6.4
43,20.0,,0.2,8.6
21,20.0,,0.2,4.2
43,19.0,False,0.19,8.17
18,19.0,,0.19,3.42
43,19.0,,0.19,8.17
23,19.0,,0.19,4.37
33,19.0,,0.19,6.2700000000000005
36,19.0,,0.19,6.84
21,19.0,,0.19,3.99
46,32.0,False,0.32,14.72
100,32.0,,0.32,32.0
22,32.0,,0.32,7.04
47,32.0,,0.32,15.04
23,32.0,,0.32,7.36
43,32.0,,0.32,13.76
45,32.0,,0.32,14.4
22,19.0,False,0.19,4.18
30,19.0,,0.19,5.7
21,19.0,,0.19,3.99
33,19.0,,0.19,6.2700000000000005
18,19.0,,0.19,3.42
43,19.0,,0.19,8.17
39,19.0,,0.19,7.41
16,16.0,False,0.16,2.56
35,16.0,,0.16,5.6000000000000005
14,16.0,,0.16,2.24
35,16.0,,0.16,5.6000000000000005
16,16.0,,0.16,2.56
41,16.0,,0.16,6.5600000000000005
23,16.0,,0.16,3.68
52,20.0,False,0.2,10.4
17,20.0,,0.2,3.4000000000000004
86,20.0,,0.2,17.2
84,20.0,,0.2,16.8
40,20.0,,0.2,8.0
87,20.0,,0.2,17.400000000000002
38,20.0,,0.2,7.6
37,17.0,False,0.17,6.29
40,17.0,,0.17,6.800000000000001
76,17.0,,0.17,12.920000000000002
47,17.0,,0.17,7.99
74,17.0,,0.17,12.58
79,17.0,,0.17,13.43
40,17.0,,0.17,6.800000000000001
100,15.0,False,0.15,15.0
36,15.0,,0.15,5.3999999999999995
82,15.0,,0.15,12.3
35,15.0,,0.15,5.25
70,15.0,,0.15,10.5
27,15.0,,0.15,4.05
25,15.0,,0.15,3.75
25,10.0,False,0.1,2.5
27,10.0,,0.1,2.7
22,10.0,,0.1,2.2
27,10.0,,0.1,2.7
33,10.0,,0.1,3.3000000000000003
71,10.0,,0.1,7.1000000000000005
34,10.0,,0.1,3.4000000000000004
47,15.0,False,0.15,7.05
80,15.0,,0.15,12.0
36,15.0,,0.15,5.3999999999999995
62,15.0,,0.15,9.3
35,15.0,,0.15,5.25
66,15.0,,0.15,9.9
36,15.0,,0.15,5.3999999999999995
100,17.0,False,0.17,17.0
34,17.0,,0.17,5.78
65,17.0,,0.17,11.05
71,17.0,,0.17,12.07
37,17.0,,0.17,6.29
77,17.0,,0.17,13.090000000000002
40,17.0,,0.17,6.800000000000001
91,17.0,False,0.17,15.47
39,17.0,,0.17,6.630000000000001
77,17.0,,0.17,13.090000000000002
40,17.0,,0.17,6.800000000000001
86,17.0,,0.17,14.62
31,17.0,,0.17,5.2700000000000005
32,17.0,,0.17,5.44
36,13.0,False,0.13,4.68
54,13.0,,0.13,7.0200000000000005
39,13.0,,0.13,5.07
58,13.0,,0.13,7.54
52,13.0,,0.13,6.76
40,13.0,,0.13,5.2
54,13.0,,0.13,7.0200000000000005
49,12.0,False,0.12,5.88
41,12.0,,0.12,4.92
45,12.0,,0.12,5.3999999999999995
30,12.0,,0.12,3.5999999999999996
63,12.0,,0.12,7.56
13,12.0,,0.12,1.56
17,12.0,,0.12,2.04
36,13.0,False,0.13,4.68
27,13.0,,0.13,3.51
13,13.0,,0.13,1.69
15,13.0,,0.13,1.95
16,13.0,,0.13,2.08
28,13.0,,0.13,3.64
19,13.0,,0.13,2.47
31,12.0,False,0.12,3.72
32,12.0,,0.12,3.84
13,12.0,,0.12,1.56
13,12.0,,0.12,1.56
12,12.0,,0.12,1.44
17,12.0,,0.12,2.04
27,12.0,,0.12,3.24
84,31.0,False,0.31,26.04
30,31.0,,0.31,9.3
69,31.0,,0.31,21.39
25,31.0,,0.31,7.75
31,31.0,,0.31,9.61
79,31.0,,0.31,24.49
33,31.0,,0.31,10.23
100,30.0,False,0.3,30.0
38,30.0,,0.3,11.4
29,30.0,,0.3,8.7
34,30.0,,0.3,10.2
94,30.0,,0.3,28.2
28,30.0,,0.3,8.4
35,30.0,,0.3,10.5
53,38.0,False,0.38,20.14
20,38.0,,0.38,7.6
16,38.0,,0.38,6.08
52,38.0,,0.38,19.76
16,38.0,,0.38,6.08
16,38.0,,0.38,6.08
23,38.0,,0.38,8.74
67,60.0,False,0.6,40.2
18,60.0,,0.6,10.8
57,60.0,,0.6,34.199999999999996
19,60.0,,0.6,11.4
63,60.0,,0.6,37.8
23,60.0,,0.6,13.8
95,60.0,,0.6,57.0
23,47.0,False,0.47,10.81
24,47.0,,0.47,11.28
15,47.0,,0.47,7.05
23,47.0,,0.47,10.81
67,47.0,,0.47,31.49
23,47.0,,0.47,10.81
85,47.0,,0.47,39.95
36,75.0,False,0.75,27.0
76,75.0,,0.75,57.0
28,75.0,,0.75,21.0
91,75.0,,0.75,68.25
30,75.0,,0.75,22.5
100,75.0,,0.75,75.0
23,75.0,,0.75,17.25
16,47.0,False,0.47,7.52
33,47.0,,0.47,15.51
19,47.0,,0.47,8.93
8,47.0,,0.47,3.76
12,47.0,,0.47,5.64
47,47.0,,0.47,22.09
11,47.0,,0.47,5.17
17,79.0,False,0.79,13.43
42,79.0,,0.79,33.18
10,79.0,,0.79,7.9
14,79.0,,0.79,11.06
40,79.0,,0.79,31.6
12,79.0,,0.79,9.48
54,79.0,,0.79,42.66
16,100.0,False,1.0,16.0
15,100.0,,1.0,15.0
59,100.0,,1.0,59.0
12,100.0,,1.0,12.0
18,100.0,,1.0,18.0
