JPMorgan Chase_unscaled,JPMorgan Chase_monthly,isPartial,scale,JPMorgan Chase
78,37.0,,0.37,28.86
90,37.0,,0.37,33.3
84,37.0,,0.37,31.08
98,37.0,,0.37,36.26
69,37.0,,0.37,25.53
47,37.0,,0.37,17.39
35,37.0,False,0.37,12.95
72,37.0,,0.37,26.64
83,37.0,,0.37,30.71
76,37.0,,0.37,28.12
83,37.0,,0.37,30.71
92,37.0,,0.37,34.04
55,37.0,,0.37,20.35
26,41.0,False,0.41,10.66
79,41.0,,0.41,32.39
100,41.0,,0.41,41.0
84,41.0,,0.41,34.44
91,41.0,,0.41,37.309999999999995
89,41.0,,0.41,36.489999999999995
61,41.0,,0.41,25.01
38,34.0,False,0.34,12.920000000000002
72,34.0,,0.34,24.48
96,34.0,,0.34,32.64
72,34.0,,0.34,24.48
76,34.0,,0.34,25.840000000000003
71,34.0,,0.34,24.14
37,34.0,,0.34,12.58
40,34.0,False,0.34,13.6
71,34.0,,0.34,24.14
72,34.0,,0.34,24.48
78,34.0,,0.34,26.520000000000003
73,34.0,,0.34,24.82
54,34.0,,0.34,18.360000000000003
40,34.0,,0.34,13.6
26,35.0,False,0.35,9.1
73,35.0,,0.35,25.549999999999997
100,35.0,,0.35,35.0
80,35.0,,0.35,28.0
73,35.0,,0.35,25.549999999999997
63,35.0,,0.35,22.049999999999997
39,35.0,,0.35,13.65
36,35.0,False,0.35,12.6
78,35.0,,0.35,27.299999999999997
79,35.0,,0.35,27.65
73,35.0,,0.35,25.549999999999997
60,35.0,,0.35,21.0
69,35.0,,0.35,24.15
33,35.0,,0.35,11.55
34,37.0,False,0.37,12.58
100,37.0,,0.37,37.0
83,37.0,,0.37,30.71
75,37.0,,0.37,27.75
80,37.0,,0.37,29.6
70,37.0,,0.37,25.9
37,37.0,,0.37,13.69
30,28.0,False,0.28,8.4
70,28.0,,0.28,19.6
74,28.0,,0.28,20.72
68,28.0,,0.28,19.040000000000003
36,28.0,,0.28,10.080000000000002
57,28.0,,0.28,15.96
38,28.0,,0.28,10.64
0,35.0,False,0.35,0.0
88,35.0,,0.35,30.799999999999997
86,35.0,,0.35,30.1
97,35.0,,0.35,33.949999999999996
71,35.0,,0.35,24.85
75,35.0,,0.35,26.25
34,35.0,,0.35,11.9
33,31.0,False,0.31,10.23
87,31.0,,0.31,26.97
66,31.0,,0.31,20.46
88,31.0,,0.31,27.28
88,31.0,,0.31,27.28
74,31.0,,0.31,22.94
30,31.0,,0.31,9.3
42,34.0,False,0.34,14.28
70,34.0,,0.34,23.8
100,34.0,,0.34,34.0
80,34.0,,0.34,27.200000000000003
91,34.0,,0.34,30.94
71,34.0,,0.34,24.14
37,34.0,,0.34,12.58
20,25.0,False,0.25,5.0
