Season,Date,Opponent,Result,Record,Hi Points,Hi Rebounds,Hi Assists
2025,"Mon, Mar 3",@ Charlotte,W 119-101,33-28,Hield 22,Green 12,Curry 10
2025,"Tue, Mar 4",@ New York,W 114-102,34-28,Curry 28,Green 9,Curry 9
2025,"Thu, Mar 6",@ Brooklyn,W 121-119,35-28,Curry 40,Payton II 9,Green 10
2025,"Sat, Mar 8",vs Detroit,W 115-110,36-28,Curry 32,Butler III 9,Green 7
2025,"Mon, Mar 10",vs Portland,W 130-120,37-28,Payton II 26,Butler III 10,Butler III 10
2025,"Thu, Mar 13",vs Sacramento,W 130-104,38-28,Green 23,Looney 6,Butler III 7
2025,"Sat, Mar 15",vs New York,W 97-94,39-28,Curry 28,Curry 7,Butler III 7
2025,"Mon, Mar 17",vs Denver,L 114-105,39-29,Butler III 23,Butler III 8,Curry 7
2025,"Tue, Mar 18",vs Milwaukee,W 104-93,40-29,Butler III 24,Green 10,Butler III 10
2025,"Thu, Mar 20",vs Toronto,W 117-114,41-29,Green 21,Butler III 11,Butler III 12
2025,"Sat, Mar 22",@ Atlanta,L 124-115,41-30,Butler III 25,Podziemski 8,Butler III 8
2025,"Tue, Mar 25",@ Miami,L 112-86,41-31,Kuminga 15,Payton II 7,Podziemski 4
2025,"Fri, Mar 28",@ New Orleans,W 111-95,42-31,Curry 23,Butler III 10,Curry 6
2025,"Sun, Mar 30",@ San Antonio,W 148-106,43-31,Podziemski 27,Looney 7,Butler III 8
2025,"Tue, Apr 1",@ Memphis,W 134-125,44-31,Curry 52,Curry 10,Green 12
2025,"Thu, Apr 3",@ Los Angeles,W 123-116,45-31,Curry 37,Green 11,Curry 6
2025,"Fri, Apr 4",vs Denver,W 118-104,46-31,Curry 36,Podziemski 8,Podziemski 6
2025,"Sun, Apr 6",vs Houston,L 106-96,46-32,Hield 20,Looney 11,Curry 8
2025,"Tue, Apr 8",@ Phoenix,W 133-95,47-32,Curry 25,Curry 9,Curry 6
2025,"Wed, Apr 9",vs San Antonio,L 114-111,47-33,Curry 30,Green 9,Green 8
