Adobe_unscaled,Adobe_monthly,isPartial,scale,Adobe
69,72.0,,0.72,49.68
91,72.0,,0.72,65.52
100,72.0,,0.72,72.0
80,72.0,,0.72,57.599999999999994
68,72.0,,0.72,48.96
44,72.0,,0.72,31.68
37,66.0,False,0.66,24.42
76,66.0,,0.66,50.160000000000004
79,66.0,,0.66,52.14
88,66.0,,0.66,58.080000000000005
79,66.0,,0.66,52.14
76,66.0,,0.66,50.160000000000004
45,66.0,,0.66,29.700000000000003
42,67.0,False,0.67,28.14
77,67.0,,0.67,51.59
82,67.0,,0.67,54.940000000000005
100,67.0,,0.67,67.0
74,67.0,,0.67,49.580000000000005
67,67.0,,0.67,44.89
44,67.0,,0.67,29.48
41,75.0,False,0.75,30.75
83,75.0,,0.75,62.25
77,75.0,,0.75,57.75
99,75.0,,0.75,74.25
85,75.0,,0.75,63.75
82,75.0,,0.75,61.5
42,75.0,,0.75,31.5
42,53.0,False,0.53,22.26
71,53.0,,0.53,37.63
70,53.0,,0.53,37.1
79,53.0,,0.53,41.870000000000005
39,53.0,,0.53,20.67
46,53.0,,0.53,24.380000000000003
41,53.0,,0.53,21.73
41,72.0,False,0.72,29.52
82,72.0,,0.72,59.04
100,72.0,,0.72,72.0
100,72.0,,0.72,72.0
84,72.0,,0.72,60.48
73,72.0,,0.72,52.559999999999995
44,72.0,,0.72,31.68
40,64.0,False,0.64,25.6
69,64.0,,0.64,44.160000000000004
73,64.0,,0.64,46.72
83,64.0,,0.64,53.120000000000005
90,64.0,,0.64,57.6
70,64.0,,0.64,44.800000000000004
45,64.0,,0.64,28.8
45,65.0,False,0.65,29.25
69,65.0,,0.65,44.85
71,65.0,,0.65,46.15
99,65.0,,0.65,64.35000000000001
82,65.0,,0.65,53.300000000000004
69,65.0,,0.65,44.85
38,65.0,,0.65,24.7
36,51.0,False,0.51,18.36
64,51.0,,0.51,32.64
67,51.0,,0.51,34.17
75,51.0,,0.51,38.25
57,51.0,,0.51,29.07
41,51.0,,0.51,20.91
32,51.0,,0.51,16.32
32,48.0,False,0.48,15.36
51,48.0,,0.48,24.48
57,48.0,,0.48,27.36
72,48.0,,0.48,34.56
63,48.0,,0.48,30.24
43,48.0,,0.48,20.64
38,48.0,,0.48,18.24
47,72.0,False,0.72,33.839999999999996
64,72.0,,0.72,46.08
91,72.0,,0.72,65.52
89,72.0,,0.72,64.08
73,72.0,,0.72,52.559999999999995
81,72.0,,0.72,58.32
53,72.0,,0.72,38.16
49,81.0,False,0.81,39.690000000000005
73,81.0,,0.81,59.13
87,81.0,,0.81,70.47
98,81.0,,0.81,79.38000000000001
97,81.0,,0.81,78.57000000000001
71,81.0,,0.81,57.510000000000005
51,81.0,,0.81,41.31
42,74.0,False,0.74,31.08
57,74.0,,0.74,42.18
77,74.0,,0.74,56.98
87,74.0,,0.74,64.38
84,74.0,,0.74,62.16
74,74.0,,0.74,54.76
53,74.0,,0.74,39.22
52,85.0,False,0.85,44.199999999999996
80,85.0,,0.85,68.0
89,85.0,,0.85,75.64999999999999
91,85.0,,0.85,77.35
89,85.0,,0.85,75.64999999999999
88,85.0,,0.85,74.8
55,85.0,,0.85,46.75
53,84.0,False,0.84,44.519999999999996
100,84.0,,0.84,84.0
84,84.0,,0.84,70.56
91,84.0,,0.84,76.44
85,84.0,,0.84,71.39999999999999
