Rakuten_unscaled,Rakuten_monthly,isPartial,scale,Rakuten
78,23.0,,0.23,17.94
86,23.0,,0.23,19.78
94,24.0,False,0.24,22.56
88,24.0,,0.24,21.119999999999997
92,24.0,,0.24,22.08
83,24.0,,0.24,19.919999999999998
88,24.0,,0.24,21.119999999999997
87,24.0,,0.24,20.88
86,24.0,,0.24,20.64
99,23.0,False,0.23,22.77
86,23.0,,0.23,19.78
89,23.0,,0.23,20.470000000000002
84,23.0,,0.23,19.32
83,23.0,,0.23,19.09
81,23.0,,0.23,18.630000000000003
85,23.0,,0.23,19.55
100,24.0,False,0.24,24.0
75,24.0,,0.24,18.0
78,24.0,,0.24,18.72
87,24.0,,0.24,20.88
88,24.0,,0.24,21.119999999999997
95,24.0,,0.24,22.8
96,24.0,,0.24,23.04
96,21.0,False,0.21,20.16
83,21.0,,0.21,17.43
90,21.0,,0.21,18.9
87,21.0,,0.21,18.27
93,21.0,,0.21,19.529999999999998
82,21.0,,0.21,17.22
94,21.0,,0.21,19.74
99,23.0,False,0.23,22.77
90,23.0,,0.23,20.7
86,23.0,,0.23,19.78
87,23.0,,0.23,20.01
86,23.0,,0.23,19.78
92,23.0,,0.23,21.16
92,23.0,,0.23,21.16
80,23.0,False,0.23,18.400000000000002
95,23.0,,0.23,21.85
98,23.0,,0.23,22.540000000000003
91,23.0,,0.23,20.93
94,23.0,,0.23,21.62
88,23.0,,0.23,20.240000000000002
89,23.0,,0.23,20.470000000000002
100,23.0,False,0.23,23.0
88,23.0,,0.23,20.240000000000002
95,23.0,,0.23,21.85
91,23.0,,0.23,20.93
94,23.0,,0.23,21.62
92,23.0,,0.23,21.16
92,23.0,,0.23,21.16
81,27.0,False,0.27,21.87
73,27.0,,0.27,19.71
99,27.0,,0.27,26.73
76,27.0,,0.27,20.520000000000003
61,27.0,,0.27,16.470000000000002
64,27.0,,0.27,17.28
63,27.0,,0.27,17.01
76,32.0,False,0.32,24.32
93,32.0,,0.32,29.76
91,32.0,,0.32,29.12
90,32.0,,0.32,28.8
88,32.0,,0.32,28.16
88,32.0,,0.32,28.16
84,32.0,,0.32,26.88
100,30.0,False,0.3,30.0
91,30.0,,0.3,27.3
88,30.0,,0.3,26.4
83,30.0,,0.3,24.9
73,30.0,,0.3,21.9
69,30.0,,0.3,20.7
86,30.0,,0.3,25.8
76,27.0,False,0.27,20.520000000000003
81,27.0,,0.27,21.87
